Algorithm,Weight,Parameter 1,Parameter 2,Successes,Failures,Success Rate (%),Avg. Time (ms)
CTUS,66,k_1.01,att_1.01,426641,73359,85.3282,0.001749
CTUS,66,k_1.02,att_1.02,496215,3785,99.2430,0.001814
CTUS,66,k_1.03,att_1.03,496609,3391,99.3218,0.001818
CTUS,66,k_1.04,att_1.04,499838,162,99.9676,0.001795
CTUS,66,k_1.05,att_1.05,499995,5,99.9990,0.001887
CTUS,66,k_1.06,att_1.06,499997,3,99.9994,0.001885
CTUS,66,k_1.07,att_1.07,500000,0,100.0000,0.001947
CTUS,66,k_1.08,att_1.08,500000,0,100.0000,0.002014
CTUS,66,k_1.09,att_1.09,500000,0,100.0000,0.002016
CTUS,66,k_1.10,att_1.10,500000,0,100.0000,0.001963
CTUS,66,k_1.11,att_1.11,500000,0,100.0000,0.002051
CTUS,66,k_1.12,att_1.12,500000,0,100.0000,0.002043
CTUS,66,k_1.13,att_1.13,500000,0,100.0000,0.002111
CTUS,66,k_1.14,att_1.14,500000,0,100.0000,0.002175
CTUS,66,k_1.15,att_1.15,500000,0,100.0000,0.002232
Fixed-N,66,n_iter_1.01,,480269,19731,96.0538,0.001582
Fixed-N,66,n_iter_1.02,,499582,418,99.9164,0.001607
Fixed-N,66,n_iter_1.03,,499602,398,99.9204,0.001607
Fixed-N,66,n_iter_1.04,,499996,4,99.9992,0.001628
Fixed-N,66,n_iter_1.05,,500000,0,100.0000,0.001652
Fixed-N,66,n_iter_1.06,,500000,0,100.0000,0.001649
Fixed-N,66,n_iter_1.07,,500000,0,100.0000,0.001676
Fixed-N,66,n_iter_1.08,,500000,0,100.0000,0.001697
Fixed-N,66,n_iter_1.09,,500000,0,100.0000,0.001699
Fixed-N,66,n_iter_1.10,,500000,0,100.0000,0.001711
Fixed-N,66,n_iter_1.11,,500000,0,100.0000,0.001746
Fixed-N,66,n_iter_1.12,,500000,0,100.0000,0.001746
Fixed-N,66,n_iter_1.13,,500000,0,100.0000,0.001778
Fixed-N,66,n_iter_1.14,,500000,0,100.0000,0.001794
Fixed-N,66,n_iter_1.15,,500000,0,100.0000,0.001794
CTUS,75,k_1.01,att_1.01,409713,90287,81.9426,0.002099
CTUS,75,k_1.02,att_1.02,493916,6084,98.7832,0.002102
CTUS,75,k_1.03,att_1.03,499687,313,99.9374,0.002190
CTUS,75,k_1.04,att_1.04,499990,10,99.9980,0.002259
CTUS,75,k_1.05,att_1.05,499985,15,99.9970,0.002258
CTUS,75,k_1.06,att_1.06,499997,3,99.9994,0.002334
CTUS,75,k_1.07,att_1.07,500000,0,100.0000,0.002262
CTUS,75,k_1.08,att_1.08,500000,0,100.0000,0.002406
CTUS,75,k_1.09,att_1.09,500000,0,100.0000,0.002405
CTUS,75,k_1.10,att_1.10,500000,0,100.0000,0.002459
CTUS,75,k_1.11,att_1.11,500000,0,100.0000,0.002547
CTUS,75,k_1.12,att_1.12,500000,0,100.0000,0.002536
CTUS,75,k_1.13,att_1.13,500000,0,100.0000,0.002534
CTUS,75,k_1.14,att_1.14,500000,0,100.0000,0.002625
CTUS,75,k_1.15,att_1.15,500000,0,100.0000,0.002703
Fixed-N,75,n_iter_1.01,,477715,22285,95.5430,0.002269
Fixed-N,75,n_iter_1.02,,499438,562,99.8876,0.002277
Fixed-N,75,n_iter_1.03,,499994,6,99.9988,0.002305
Fixed-N,75,n_iter_1.04,,500000,0,100.0000,0.002337
Fixed-N,75,n_iter_1.05,,500000,0,100.0000,0.002338
Fixed-N,75,n_iter_1.06,,500000,0,100.0000,0.002368
Fixed-N,75,n_iter_1.07,,500000,0,100.0000,0.002384
Fixed-N,75,n_iter_1.08,,500000,0,100.0000,0.002428
Fixed-N,75,n_iter_1.09,,500000,0,100.0000,0.002425
Fixed-N,75,n_iter_1.10,,500000,0,100.0000,0.002464
Fixed-N,75,n_iter_1.11,,500000,0,100.0000,0.002485
Fixed-N,75,n_iter_1.12,,500000,0,100.0000,0.002514
Fixed-N,75,n_iter_1.13,,500000,0,100.0000,0.002513
Fixed-N,75,n_iter_1.14,,500000,0,100.0000,0.002548
Fixed-N,75,n_iter_1.15,,500000,0,100.0000,0.002595
CTUS,100,k_1.01,att_1.01,482496,17504,96.4992,0.003405
CTUS,100,k_1.02,att_1.02,498455,1545,99.6910,0.003485
CTUS,100,k_1.03,att_1.03,499893,107,99.9786,0.003601
CTUS,100,k_1.04,att_1.04,499997,3,99.9994,0.003523
CTUS,100,k_1.05,att_1.05,499995,5,99.9990,0.003523
CTUS,100,k_1.06,att_1.06,500000,0,100.0000,0.003635
CTUS,100,k_1.07,att_1.07,500000,0,100.0000,0.003818
CTUS,100,k_1.08,att_1.08,500000,0,100.0000,0.003777
CTUS,100,k_1.09,att_1.09,500000,0,100.0000,0.003854
CTUS,100,k_1.10,att_1.10,500000,0,100.0000,0.003955
CTUS,100,k_1.11,att_1.11,500000,0,100.0000,0.004053
CTUS,100,k_1.12,att_1.12,500000,0,100.0000,0.003988
CTUS,100,k_1.13,att_1.13,500000,0,100.0000,0.004117
CTUS,100,k_1.14,att_1.14,500000,0,100.0000,0.004218
CTUS,100,k_1.15,att_1.15,500000,0,100.0000,0.004324
Fixed-N,100,n_iter_1.01,,499068,932,99.8136,0.003220
Fixed-N,100,n_iter_1.02,,499968,32,99.9936,0.003255
Fixed-N,100,n_iter_1.03,,500000,0,100.0000,0.003284
Fixed-N,100,n_iter_1.04,,500000,0,100.0000,0.003318
Fixed-N,100,n_iter_1.05,,500000,0,100.0000,0.003306
Fixed-N,100,n_iter_1.06,,500000,0,100.0000,0.003348
Fixed-N,100,n_iter_1.07,,500000,0,100.0000,0.003413
Fixed-N,100,n_iter_1.08,,500000,0,100.0000,0.003443
Fixed-N,100,n_iter_1.09,,500000,0,100.0000,0.003471
Fixed-N,100,n_iter_1.10,,500000,0,100.0000,0.003520
Fixed-N,100,n_iter_1.11,,500000,0,100.0000,0.003539
Fixed-N,100,n_iter_1.12,,500000,0,100.0000,0.003557
Fixed-N,100,n_iter_1.13,,500000,0,100.0000,0.003598
Fixed-N,100,n_iter_1.14,,500000,0,100.0000,0.003628
Fixed-N,100,n_iter_1.15,,500000,0,100.0000,0.003662
CTUS,114,k_1.01,att_1.01,472681,27319,94.5362,0.004251
CTUS,114,k_1.02,att_1.02,496675,3325,99.3350,0.004215
CTUS,114,k_1.03,att_1.03,499715,285,99.9430,0.004334
CTUS,114,k_1.04,att_1.04,499983,17,99.9966,0.004437
CTUS,114,k_1.05,att_1.05,499999,1,99.9998,0.004548
CTUS,114,k_1.06,att_1.06,500000,0,100.0000,0.004494
CTUS,114,k_1.07,att_1.07,500000,0,100.0000,0.004588
CTUS,114,k_1.08,att_1.08,500000,0,100.0000,0.004800
CTUS,114,k_1.09,att_1.09,500000,0,100.0000,0.004764
CTUS,114,k_1.10,att_1.10,500000,0,100.0000,0.004876
CTUS,114,k_1.11,att_1.11,500000,0,100.0000,0.004974
CTUS,114,k_1.12,att_1.12,500000,0,100.0000,0.005095
CTUS,114,k_1.13,att_1.13,500000,0,100.0000,0.005017
CTUS,114,k_1.14,att_1.14,500000,0,100.0000,0.005143
CTUS,114,k_1.15,att_1.15,500000,0,100.0000,0.005373
Fixed-N,114,n_iter_1.01,,498836,1164,99.7672,0.003525
Fixed-N,114,n_iter_1.02,,499973,27,99.9946,0.003546
Fixed-N,114,n_iter_1.03,,499999,1,99.9998,0.003573
Fixed-N,114,n_iter_1.04,,500000,0,100.0000,0.003614
Fixed-N,114,n_iter_1.05,,500000,0,100.0000,0.003648
Fixed-N,114,n_iter_1.06,,500000,0,100.0000,0.003652
Fixed-N,114,n_iter_1.07,,500000,0,100.0000,0.003697
Fixed-N,114,n_iter_1.08,,500000,0,100.0000,0.003758
Fixed-N,114,n_iter_1.09,,500000,0,100.0000,0.003793
Fixed-N,114,n_iter_1.10,,500000,0,100.0000,0.003812
Fixed-N,114,n_iter_1.11,,500000,0,100.0000,0.003858
Fixed-N,114,n_iter_1.12,,500000,0,100.0000,0.003875
Fixed-N,114,n_iter_1.13,,500000,0,100.0000,0.003895
Fixed-N,114,n_iter_1.14,,500000,0,100.0000,0.003938
Fixed-N,114,n_iter_1.15,,500000,0,100.0000,0.004001
CTUS,131,k_1.01,att_1.01,455696,44304,91.1392,0.005271
CTUS,131,k_1.02,att_1.02,493153,6847,98.6306,0.005376
CTUS,131,k_1.03,att_1.03,499170,830,99.8340,0.005501
CTUS,131,k_1.04,att_1.04,499996,4,99.9992,0.005565
CTUS,131,k_1.05,att_1.05,499998,2,99.9996,0.005686
CTUS,131,k_1.06,att_1.06,500000,0,100.0000,0.005797
CTUS,131,k_1.07,att_1.07,500000,0,100.0000,0.005886
CTUS,131,k_1.08,att_1.08,500000,0,100.0000,0.005990
CTUS,131,k_1.09,att_1.09,500000,0,100.0000,0.006114
CTUS,131,k_1.10,att_1.10,500000,0,100.0000,0.006308
CTUS,131,k_1.11,att_1.11,500000,0,100.0000,0.006291
CTUS,131,k_1.12,att_1.12,500000,0,100.0000,0.006455
CTUS,131,k_1.13,att_1.13,500000,0,100.0000,0.006536
CTUS,131,k_1.14,att_1.14,500000,0,100.0000,0.006672
CTUS,131,k_1.15,att_1.15,500000,0,100.0000,0.006817
Fixed-N,131,n_iter_1.01,,498519,1481,99.7038,0.004551
Fixed-N,131,n_iter_1.02,,499972,28,99.9944,0.004589
Fixed-N,131,n_iter_1.03,,499999,1,99.9998,0.004609
Fixed-N,131,n_iter_1.04,,500000,0,100.0000,0.004669
Fixed-N,131,n_iter_1.05,,500000,0,100.0000,0.004721
Fixed-N,131,n_iter_1.06,,500000,0,100.0000,0.004755
Fixed-N,131,n_iter_1.07,,500000,0,100.0000,0.004825
Fixed-N,131,n_iter_1.08,,500000,0,100.0000,0.004863
Fixed-N,131,n_iter_1.09,,500000,0,100.0000,0.004898
Fixed-N,131,n_iter_1.10,,500000,0,100.0000,0.004947
Fixed-N,131,n_iter_1.11,,500000,0,100.0000,0.004989
Fixed-N,131,n_iter_1.12,,500000,0,100.0000,0.005021
Fixed-N,131,n_iter_1.13,,500000,0,100.0000,0.005102
Fixed-N,131,n_iter_1.14,,500000,0,100.0000,0.005126
Fixed-N,131,n_iter_1.15,,500000,0,100.0000,0.005171
CTUS,149,k_1.01,att_1.01,432780,67220,86.5560,0.006716
CTUS,149,k_1.02,att_1.02,486999,13001,97.3998,0.006861
CTUS,149,k_1.03,att_1.03,499757,243,99.9514,0.006899
CTUS,149,k_1.04,att_1.04,499975,25,99.9950,0.007019
CTUS,149,k_1.05,att_1.05,500000,0,100.0000,0.007131
CTUS,149,k_1.06,att_1.06,500000,0,100.0000,0.007221
